strain	perc_expand	off_epoch	fou_gt	n
BXD081	0.8181818181818182	epoch_3b	B	121
BXD044	0.8012048192771084	epoch_3a	B	166
BXD102	0.7808988764044944	epoch_3b	B	178
BXD095	0.776	epoch_3b	B	125
BXD098	0.7736842105263158	epoch_3b	B	190
BXD069	0.7734806629834254	epoch_3b	B	181
BXD178	0.77	epoch_5	B	100
BXD222	0.7619047619047619	epoch_7	B	42
BXD160	0.76	epoch_5	B	100
BXD061	0.7593582887700535	epoch_3b	B	187
BXD060	0.7541899441340782	epoch_3b	B	179
BXD065a	0.751412429378531	epoch_3b	B	177
BXD181	0.7457627118644068	epoch_5	B	59
BXD224	0.7428571428571429	epoch_7	B	35
BXD071	0.7397260273972602	epoch_3b	B	146
BXD137	0.7380952380952381	epoch_4	D	84
BXD141	0.7358490566037735	epoch_4	B	53
BXD073a	0.7346938775510204	epoch_3b	B	147
BXD177	0.7340425531914894	epoch_5	B	94
BXD065b	0.7337278106508875	epoch_3b	B	169
BXD045	0.7307692307692307	epoch_3a	B	208
BXD083	0.7307692307692307	epoch_3b	B	208
BXD084	0.7294117647058823	epoch_3b	B	170
BXD075	0.7289156626506024	epoch_3b	B	166
BXD073	0.7280701754385965	epoch_3b	B	114
BXD172	0.7254901960784313	epoch_5	B	102
BXD073b	0.7247706422018348	epoch_3b	B	109
BXD151	0.7246376811594203	epoch_4	D	69
BXD043	0.722488038277512	epoch_3a	B	209
BXD051	0.7222222222222222	epoch_3a	B	162
BXD090	0.7218934911242604	epoch_3b	B	169
BXD114	0.7166666666666667	epoch_4	B	60
BXD195	0.7142857142857143	epoch_6	D	91
BXD019	0.7122736418511066	epoch_1a	B	497
BXD085	0.7115384615384616	epoch_3b	B	156
BXD100	0.7109004739336493	epoch_3b	B	211
BXD006	0.7104722792607803	epoch_1a	B	487
BXD154	0.7101449275362319	epoch_4	B	69
BXD034	0.71	epoch_2	B	200
BXD157	0.7096774193548387	epoch_4	B	62
BXD065	0.7068965517241379	epoch_3b	B	174
BXD113	0.7066666666666667	epoch_4	D	75
BXD070	0.7058823529411765	epoch_3b	B	153
BXD029	0.7053941908713693	epoch_1a	B	241
BXD225	0.7037037037037037	epoch_7	D	27
BXD128	0.703125	epoch_4	D	64
BXD198	0.7	epoch_6	D	70
BXD211	0.7	epoch_6	D	80
BXD016	0.699228791773779	epoch_1a	D	389
BXD217	0.696969696969697	epoch_6	B	66
BXD127	0.6951219512195121	epoch_4	B	82
BXD088	0.6942675159235668	epoch_3b	B	157
BXD064	0.6936416184971098	epoch_3b	B	173
BXD209	0.6933333333333334	epoch_6	D	75
BXD086	0.6931216931216931	epoch_3b	B	189
BXD055	0.6904761904761905	epoch_3a	B	168
BXD048a	0.6886792452830188	epoch_3a	B	212
BXD170	0.6885245901639344	epoch_5	D	61
BXD187	0.6883116883116883	epoch_6	D	77
BXD101	0.6857142857142857	epoch_3b	B	140
BXD213	0.6777777777777778	epoch_6	D	90
BXD205	0.6756756756756757	epoch_6	B	74
BXD029_trl4	0.6752873563218391	epoch_1a	B	348
BXD039	0.6746987951807228	epoch_2	D	166
BXD091	0.6736842105263158	epoch_3b	D	190
BXD183	0.672566371681416	epoch_5	B	113
BXD226	0.6712328767123288	epoch_7	B	73
BXD125	0.6708860759493671	epoch_4	B	79
BXD204	0.6708860759493671	epoch_6	D	79
BXD089	0.6708074534161491	epoch_3b	B	161
BXD066	0.6690140845070423	epoch_3b	B	142
BXD021	0.6679245283018868	epoch_1a	D	265
BXD184	0.6666666666666666	epoch_5	D	87
BXD223	0.6666666666666666	epoch_7	B	42
BXD042	0.6640625	epoch_2	B	256
BXD013	0.6635802469135802	epoch_1a	D	324
BXD173	0.6633663366336634	epoch_5	D	101
BXD131	0.6625	epoch_4	B	80
BXD219	0.6623376623376623	epoch_6	D	77
BXD049	0.6612021857923497	epoch_3a	B	183
BXD077	0.6596858638743456	epoch_3b	B	191
BXD027	0.6589473684210526	epoch_1a	D	475
BXD038	0.6580882352941176	epoch_2	B	272
BXD148	0.6521739130434783	epoch_4	D	69
BXD191	0.6515151515151515	epoch_6	D	66
BXD099	0.6496815286624203	epoch_3b	B	157
BXD074	0.6483516483516484	epoch_3b	D	91
BXD036	0.6477987421383647	epoch_2	B	159
BXD174	0.6458333333333334	epoch_5	B	96
BXD053	0.6454545454545455	epoch_3a	B	110
BXD048	0.6451612903225806	epoch_3a	B	186
BXD111	0.6451612903225806	epoch_4	B	93
BXD168	0.6434782608695652	epoch_5	D	115
BXD005	0.6402439024390244	epoch_1a	B	492
BXD149	0.64	epoch_4	D	75
BXD156	0.6395348837209303	epoch_4	D	86
BXD144	0.6376811594202898	epoch_4	D	69
BXD122	0.6352941176470588	epoch_4	D	85
BXD202	0.6341463414634146	epoch_6	D	82
BXD011	0.6338028169014085	epoch_1a	D	426
BXD024_cep	0.6330472103004292	epoch_1a	D	466
BXD040	0.6291079812206573	epoch_2	D	213
BXD050	0.6270491803278688	epoch_3a	D	244
BXD162	0.6265060240963856	epoch_5	B	83
BXD199	0.6265060240963856	epoch_6	B	83
BXD169	0.625	epoch_5	B	104
BXD002	0.6238003838771593	epoch_1a	D	521
BXD068	0.6229508196721312	epoch_3b	D	183
BXD147	0.6229508196721312	epoch_4	B	61
BXD186	0.6216216216216216	epoch_5	B	111
BXD176	0.6203703703703703	epoch_5	B	108
BXD063	0.6203208556149733	epoch_3b	D	187
BXD018	0.6173120728929385	epoch_1a	B	439
BXD161	0.6153846153846154	epoch_5	D	91
BXD175	0.6153846153846154	epoch_5	D	52
BXD196	0.6125	epoch_6	D	80
BXD078	0.6118881118881119	epoch_3b	D	286
BXD216	0.611764705882353	epoch_6	B	85
BXD180	0.6086956521739131	epoch_5	B	115
BXD022	0.6082251082251082	epoch_1a	B	462
BXD056	0.6079295154185022	epoch_3a	D	227
BXD024	0.6075581395348837	epoch_1a	D	344
BXD150	0.6060606060606061	epoch_4	D	66
BXD190	0.6020408163265306	epoch_6	B	98
BXD079	0.6016260162601627	epoch_3b	D	123
BXD171	0.6016260162601627	epoch_5	B	123
BXD008	0.5991735537190083	epoch_1a	B	242
BXD028	0.5978835978835979	epoch_1a	D	378
BXD152	0.5972222222222222	epoch_4	D	72
BXD227	0.5967741935483871	epoch_7	D	62
BXD087	0.5935828877005348	epoch_3b	D	187
BXD194	0.5935828877005348	epoch_6	D	187
BXD001	0.5907990314769975	epoch_1a	D	413
BXD067	0.5894039735099338	epoch_3b	D	151
BXD014	0.5803402646502835	epoch_1a	D	529
BXD221	0.5757575757575758	epoch_7	D	33
BXD020	0.5753138075313807	epoch_1a	D	478
BXD214	0.5666666666666667	epoch_6	B	60
BXD033	0.5625	epoch_2	D	112
BXD197	0.5625	epoch_6	D	64
BXD124	0.5616438356164384	epoch_4	D	73
BXD031	0.5615141955835962	epoch_1a	D	634
BXD062	0.5606936416184971	epoch_3b	D	173
BXD012	0.5549348230912476	epoch_1a	D	537
BXD123	0.5454545454545454	epoch_4	D	66
BXD201	0.5409836065573771	epoch_6	D	61
BXD032	0.5194274028629857	epoch_1a	D	489
BXD215	0.5166666666666667	epoch_6	B	60
BXD155	0.5131578947368421	epoch_4	D	76
BXD015	0.5068807339449541	epoch_1a	D	436
BXD218	0.5068493150684932	epoch_6	D	73
BXD009	0.503370786516854	epoch_1a	D	445
